,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,14300000.000,1100000.000,14600000.000,-15400000.000,600000.000,10300000.000,3200000.000,-2700000.000,400000.000,300000.000,6000000.000,400000.000,100000.000,200000.000,5400000.000,-3100000.000,100000.000,5500000.000,8100000.000,-10200000.000,200000.000,300000.000,11200000.000,-3800000.000,11900000.000,400000.000
AvailableForSaleDebtSecuritiesGrossUnrealizedLoss,,,,,,,,,,,,,,,,,,,,,36000000.000,,,,24000000.000,
AvailableForSaleSecuritiesGrossRealizedGains,30000000.000,57000000.000,69000000.000,27000000.000,43000000.000,88000000.000,75000000.000,46000000.000,42000000.000,21000000.000,40000000.000,143000000.000,77000000.000,71000000.000,34000000.000,29000000.000,98000000.000,50000000.000,35000000.000,11000000.000,22000000.000,33000000.000,28000000.000,33000000.000,55000000.000,22000000.000
AvailableForSaleSecuritiesGrossRealizedLosses,21000000.000,22000000.000,27000000.000,18000000.000,12000000.000,20000000.000,16000000.000,19000000.000,30000000.000,13000000.000,26000000.000,19000000.000,22000000.000,83000000.000,19000000.000,-9000000.000,69000000.000,19000000.000,21000000.000,-22000000.000,18000000.000,20000000.000,15000000.000,23000000.000,29000000.000,14000000.000
BusinessCombinationAcquisitionRelatedCosts,,,,,,,,,,,,,,,,,4000000.000,9000000.000,7000000.000,6000000.000,4000000.000,2000000.000,123000000.000,6000000.000,11000000.000,4000000.000
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,,,,,,,,,,,,,,,,,,,,,,,-101000000.000,,,
CapitalExpendituresIncurredButNotYetPaid,,,,,884000000.000,,,,674000000.000,,,,802000000.000,,,,632000000.000,,,,1252000000.000,,,,972000000.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,123000000.000,,,,-102000000.000,,,,-114000000.000,,,,50000000.000,,,,-108000000.000,,,,57000000.000,,,,-692000000.000,
CashDividendsPaidToParentCompany,,,,,0.000,,,,,,,,,,,,0.000,,,,0.000,,,,,
CashDividendsPaidToParentCompanyByConsolidatedSubsidiaries,,,,,0.000,,,,,,,,,,,,,,,,,,,,,
CashFlowHedgeGainLossReclassifiedToEarningsNet,-25000000.000,,,,-25000000.000,-7000000.000,-10000000.000,-27000000.000,-34000000.000,-27000000.000,-14000000.000,-30000000.000,,,,,,,,,,,,,,
CashFlowHedgeGainLossToBeReclassifiedWithinTwelveMonths,-24000000.000,,,,-19000000.000,,-39000000.000,,-45000000.000,-52000000.000,-58000000.000,91000000.000,-61000000.000,-49000000.000,-50000000.000,107000000.000,-52000000.000,,,,-36000000.000,,,,-76000000.000,
CommonStockDividendsPerShareCashPaid,0.550,0.550,0.550,0.550,0.600,0.600,0.600,0.600,0.660,0.660,0.660,0.660,0.725,0.725,0.725,0.725,0.770,0.770,0.770,0.770,0.870,0.870,0.870,0.870,0.983,0.983
ComprehensiveIncomeNetOfTax,304000000.000,493000000.000,178000000.000,628000000.000,521000000.000,511000000.000,386000000.000,392000000.000,391000000.000,644000000.000,718000000.000,466000000.000,395000000.000,530000000.000,648000000.000,796000000.000,617000000.000,785000000.000,714000000.000,509000000.000,690000000.000,571000000.000,799000000.000,949000000.000,1613000000.000,836000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,,,,,,,,,,,4000000.000,,-3000000.000,5000000.000,-1000000.000,-2000000.000,-13000000.000,5000000.000,30000000.000,71000000.000,19000000.000,12000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,,,,,,,652000000.000,,614000000.000,790000000.000,713000000.000,507000000.000,677000000.000,576000000.000,829000000.000,1020000000.000,1632000000.000,848000000.000
DeferredIncomeTaxExpenseBenefit,9000000.000,,,,134000000.000,,,,363000000.000,,,,190000000.000,,,,262000000.000,,,,214000000.000,,,,565000000.000,
DepreciationAndAmortization,331000000.000,,,,320000000.000,,,,419000000.000,,,,463000000.000,,,,547000000.000,,,,537000000.000,,,,619000000.000,
DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet,,,,,,,,,,,,,,7000000.000,-71000000.000,,-22000000.000,-34000000.000,-11000000.000,,,,,,,
DerivativeInstrumentsGainLossRecognizedInOtherComprehensiveIncomeEffectivePortionNet,-15000000.000,,,,-9000000.000,-66000000.000,-45000000.000,-41000000.000,92000000.000,61000000.000,-25000000.000,1000000.000,-29000000.000,-10000000.000,-51000000.000,-131000000.000,-78000000.000,66000000.000,-152000000.000,39000000.000,,,,,,
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,-182000000.000,,,,142000000.000,196000000.000,-213000000.000,24000000.000,-71000000.000,14000000.000,135000000.000,-71000000.000,-298000000.000,-167000000.000,30000000.000,791000000.000,226000000.000,202000000.000,388000000.000,132000000.000,152000000.000,,,,,
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,,,,,,,,,,,,,,,,,,,,,,,,,1096000000.000,1000000.000
DisposalGroupNotDiscontinuedOperationLossGainOnWriteDown,,,148000000.000,,,,0.000,,,,,,,,,,,,,,,,,,,
EarningsPerShareBasic,0.640,1.390,0.980,1.610,1.120,1.460,0.990,1.020,0.650,1.450,1.650,0.750,0.990,1.130,1.520,2.030,1.470,1.610,1.940,1.090,1.380,1.170,1.630,,3.390,1.690
EarningsPerShareDiluted,0.640,1.380,0.970,1.600,1.110,1.450,0.980,1.020,0.640,1.440,1.640,0.750,0.980,1.120,1.500,2.000,1.450,1.590,1.930,1.090,1.370,1.160,1.620,,3.370,1.680
EffectiveIncomeTaxRateContinuingOperations,-0.140,0.200,0.280,-0.124,0.250,0.290,0.270,-0.544,0.670,0.260,0.300,-0.912,0.260,0.370,0.300,-0.607,0.310,0.280,0.320,-0.602,0.290,0.290,0.350,-0.615,0.300,0.260
EquityMethodInvestmentDividendsOrDistributions,23000000.000,,,,8000000.000,,,,,,,,,,,,,,,,,,,,,
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationGainLossIncludedInEarnings,,,,,,,,,,,,,,,,,,,,,,-34000000.000,153000000.000,,216000000.000,144000000.000
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationGainLossIncludedInOtherComprehensiveIncomeLoss,,,,,,,,,,,,,,,,,,,,,,3000000.000,,,-1000000.000,-10000000.000
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationIssues,,,,,,,,,,,,,,,,,,,,,,-69000000.000,-16000000.000,,-16000000.000,-88000000.000
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationPurchases,,,,,,,,,,,,,,,,,,,,,,75000000.000,28000000.000,,21000000.000,23000000.000
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationSettlements,,,,,,,,,,,,,,,,,,,,,,95000000.000,72000000.000,,85000000.000,72000000.000
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationTransfersIntoLevel3,,,,,,,,,,,,,,,,,,,,,,0.000,1000000.000,,9000000.000,6000000.000
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationTransfersOutOfLevel3,,,,,,,,,,,,,,,,,,,,,,0.000,36000000.000,,-5000000.000,6000000.000
ForeignCurrencyTransactionLossBeforeTax,,,,,,,,,,,,,,,,,,,,,40000000.000,,,,28000000.000,
GainLossOnCashFlowHedgeIneffectivenessNet,0.000,,,,,,,,,,,,,,,,,,,,,,,,,
GainLossOnDispositionOfAssets1,,,,,,,,,,,,,,,,,,,,,,,,,1145000000.000,
GainLossOnFairValueHedgeIneffectivenessNet,-6000000.000,,,,,,,,,,,,,,,,,,,,,,,,,
GainLossOnInvestments,,,,,,,,,,,,,,,,,,,,,,12000000.000,9000000.000,,45000000.000,3000000.000
GainsLossesOnSalesOfAssets,17000000.000,25000000.000,37000000.000,6000000.000,11000000.000,57000000.000,53000000.000,36000000.000,,9000000.000,20000000.000,,44000000.000,33000000.000,12000000.000,16000000.000,22000000.000,5000000.000,15000000.000,48000000.000,15000000.000,,,,,
ImpairmentOfLongLivedAssetsHeldForUse,,51000000.000,0.000,,,0.000,0.000,,300000000.000,0.000,0.000,0.000,0.000,0.000,0.000,11000000.000,,,,,,,,,,
IncomeLossFromContinuingOperations,,,,,,,,,84000000.000,610000000.000,698000000.000,328000000.000,430000000.000,492000000.000,660000000.000,883000000.000,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,236000000.000,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,727000000.000,565000000.000,,618000000.000,850000000.000,569000000.000,566000000.000,252000000.000,821000000.000,995000000.000,453000000.000,583000000.000,784000000.000,943000000.000,1335000000.000,936000000.000,994000000.000,1302000000.000,758000000.000,896000000.000,763000000.000,1207000000.000,1522000000.000,2266000000.000,1093000000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,,,,,,,664000000.000,,,,,,,,,,,
IncomeLossFromContinuingOperationsPerBasicShare,,,,,,,,,0.200,1.450,1.650,0.760,0.990,1.130,1.520,2.030,,,,,,,,,,
IncomeLossFromContinuingOperationsPerDilutedShare,,,,,,,,,0.200,1.440,1.640,0.750,0.980,1.120,1.500,2.000,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,,,,,,,,,,,,0.000,,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,,,,,,,,,188000000.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,,,,,,,,0.450,0.000,0.000,-0.010,0.000,0.000,0.000,0.000,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,,,,,,,,,0.440,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,
IncomeLossFromEquityMethodInvestments,10000000.000,18000000.000,28000000.000,-1000000.000,-3000000.000,4000000.000,16000000.000,-4000000.000,,,,,,20000000.000,38000000.000,,9000000.000,27000000.000,51000000.000,20000000.000,32000000.000,44000000.000,70000000.000,2000000.000,31000000.000,66000000.000
IncomeTaxCreditsAndAdjustments,79000000.000,84000000.000,45000000.000,,61000000.000,50000000.000,35000000.000,,59000000.000,66000000.000,36000000.000,,49000000.000,49000000.000,34000000.000,,38000000.000,37000000.000,29000000.000,,42000000.000,31000000.000,19000000.000,,28000000.000,30000000.000
IncomeTaxExpenseBenefit,-32000000.000,147000000.000,158000000.000,256000000.000,157000000.000,243000000.000,154000000.000,138000000.000,168000000.000,211000000.000,297000000.000,125000000.000,153000000.000,292000000.000,279000000.000,452000000.000,286000000.000,274000000.000,421000000.000,247000000.000,259000000.000,219000000.000,418000000.000,487000000.000,675000000.000,289000000.000
IncreaseDecreaseInAccountsAndOtherReceivables,,,,,,,,,-136000000.000,,,,90000000.000,,,,-118000000.000,,,,-188000000.000,,,,,
IncreaseDecreaseInAccountsPayable,-105000000.000,,,,-75000000.000,,,,42000000.000,,,,162000000.000,,,,-157000000.000,,,,-40000000.000,,,,,
IncreaseDecreaseInAccountsReceivable,229000000.000,,,,-110000000.000,,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInAccruedIncomeTaxesPayable,-43000000.000,,,,8000000.000,,,,-205000000.000,,,,-42000000.000,,,,12000000.000,,,,38000000.000,,,,,
IncreaseDecreaseInCustomerDeposits,3000000.000,,,,,,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInInventories,-18000000.000,,,,18000000.000,,,,25000000.000,,,,-9000000.000,,,,-43000000.000,,,,27000000.000,,,,,
IncreaseDecreaseInOtherCurrentAssets,,,,,24000000.000,,,,10000000.000,,,,24000000.000,,,,23000000.000,,,,-8000000.000,,,,-142000000.000,
IncreaseDecreaseInOtherCurrentLiabilities,,,,,-168000000.000,,,,-219000000.000,,,,-161000000.000,,,,-152000000.000,,,,-145000000.000,,,,261000000.000,
IncreaseDecreaseInOtherNoncurrentAssets,,,,,-40000000.000,,,,25000000.000,,,,97000000.000,,,,2000000.000,,,,85000000.000,,,,170000000.000,
IncreaseDecreaseInOtherNoncurrentLiabilities,,,,,-24000000.000,,,,14000000.000,,,,25000000.000,,,,-31000000.000,,,,1000000.000,,,,-166000000.000,
IncreaseDecreaseInOtherReceivables,21000000.000,,,,51000000.000,,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInRecoverablePropertyDamageCosts,,,,,,,,,,,,,,,,,,,,,,,,,90000000.000,
NetCashProvidedByUsedInFinancingActivities,217000000.000,,,,1058000000.000,,,,382000000.000,,,,875000000.000,,,,275000000.000,,,,2193000000.000,,,,1678000000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,217000000.000,,,,1058000000.000,,,,382000000.000,,,,875000000.000,,,,275000000.000,,,,2193000000.000,,,,1678000000.000,
NetCashProvidedByUsedInInvestingActivities,-1077000000.000,,,,-1995000000.000,,,,-1578000000.000,,,,-1842000000.000,,,,-1564000000.000,,,,-3681000000.000,,,,-3734000000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-1077000000.000,,,,-1995000000.000,,,,-1578000000.000,,,,-1842000000.000,,,,-1564000000.000,,,,-3681000000.000,,,,-3734000000.000,
NetCashProvidedByUsedInOperatingActivities,983000000.000,,,,835000000.000,,,,1082000000.000,,,,1017000000.000,,,,1181000000.000,,,,1545000000.000,,,,1364000000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,983000000.000,,,,835000000.000,,,,1082000000.000,,,,1017000000.000,,,,1181000000.000,,,,1545000000.000,,,,1364000000.000,
NetIncomeLoss,268000000.000,580000000.000,407000000.000,668000000.000,461000000.000,607000000.000,415000000.000,428000000.000,272000000.000,610000000.000,698000000.000,328000000.000,430000000.000,492000000.000,660000000.000,883000000.000,650000000.000,716000000.000,879000000.000,507000000.000,636000000.000,540000000.000,753000000.000,983000000.000,1583000000.000,793000000.000
NetIncomeLossAttributableToNoncontrollingInterest,,,,,,,,,,,,,,,4000000.000,,0.000,4000000.000,2000000.000,4000000.000,1000000.000,4000000.000,36000000.000,52000000.000,8000000.000,11000000.000
NoncontrollingInterestIncreaseFromSubsidiaryEquityIssuance,,,,,,,,,,,,,,,232000000.000,,,,,,,,,,,
NonoperatingIncomeExpense,,-180000000.000,-346000000.000,,-225000000.000,-172000000.000,-180000000.000,-96000000.000,-182000000.000,-160000000.000,-190000000.000,-188000000.000,-155000000.000,-167000000.000,-220000000.000,-197000000.000,-193000000.000,-152000000.000,-179000000.000,-118000000.000,-338000000.000,-406000000.000,-72000000.000,596000000.000,-139000000.000,-192000000.000
OperatingExpenses,2706000000.000,3054000000.000,3471000000.000,2732000000.000,2528000000.000,2645000000.000,3094000000.000,2713000000.000,2845000000.000,2852000000.000,3209000000.000,2989000000.000,2936000000.000,3078000000.000,3491000000.000,3132000000.000,2975000000.000,3212000000.000,3473000000.000,3194000000.000,2601000000.000,2648000000.000,3526000000.000,2772000000.000,1567000000.000,3119000000.000
OperatingIncomeLoss,428000000.000,907000000.000,911000000.000,1132000000.000,843000000.000,1022000000.000,749000000.000,662000000.000,434000000.000,981000000.000,1185000000.000,641000000.000,738000000.000,951000000.000,1163000000.000,1532000000.000,1129000000.000,1146000000.000,1481000000.000,876000000.000,1234000000.000,1169000000.000,1279000000.000,926000000.000,2405000000.000,1285000000.000
OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentNetOfTaxPeriodIncreaseDecrease,6000000.000,,,,-12000000.000,,,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeDefinedBenefitPlansTax,4000000.000,,,,-8000000.000,,,,,,,,,,,,,,,,,,,,,
