,2013-01-31,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30
CashAndCashEquivalentsPeriodIncreaseDecrease,,-1106.000,,,,-3158.000,,,,-330.000,,,,2687.000,,,
DebtInstrumentInterestRateDuringPeriod,,0.010,,,,,,,,,,,,0.010,,,
EarningsPerShareBasicAndDiluted,-0.001,-0.000,-0.003,-0.002,-0.002,-0.001,-0.001,-0.003,-0.002,-0.003,-0.002,-0.002,-0.006,-0.002,-0.002,-0.002,-0.002
GeneralAndAdministrativeExpense,313.000,56.000,3487.000,4239.000,225.000,58.000,17.000,6945.000,1436.000,6116.000,2693.000,1267.000,15299.000,724.000,2065.000,1404.000,1303.000
IncreaseDecreaseInAccountsPayable,,-65.000,,,,685.000,,,,2218.000,,,,6092.000,,,
InterestExpense,170.000,510.000,,,,,,,,,,,,,,,
InterestExpenseDebt,,,,1110.000,,1110.000,1110.000,1318.000,1440.000,1557.000,1740.000,1741.000,2141.000,2406.000,2488.000,2643.000,2760.000
InterestExpenseOther,,,1010.000,,,,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,,,,,,,,,10000.000,,,,2700.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,,,,,,10000.000,,,,2700.000,,,
NetCashProvidedByUsedInOperatingActivities,,-1106.000,,,,-3158.000,,,,-10330.000,,,,-13.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-1106.000,,,,-3158.000,,,,-10330.000,,,,-13.000,,,
NetIncomeLoss,-3311.000,-1041.000,-9272.000,-8024.000,-6009.000,-3843.000,-4002.000,-11038.000,-5651.000,-12548.000,-7048.000,-5983.000,-22975.000,-6105.000,-7528.000,-7022.000,-9238.000
OperatingExpenses,3141.000,531.000,8262.000,6914.000,4900.000,2733.000,2892.000,9720.000,4211.000,10991.000,5308.000,4242.000,20834.000,3699.000,5040.000,4379.000,6478.000
OperatingIncomeLoss,-3141.000,-531.000,-8262.000,-6914.000,-4900.000,-2733.000,-2892.000,-9720.000,-4211.000,-10991.000,-5308.000,-4242.000,-20834.000,-3699.000,-5040.000,-4379.000,-6478.000
ProceedsFromIssuanceOfCommonStock,,,,,,,,,,5000.000,,,,,,,
ProceedsFromLoans,,,,,,,,,,10000.000,,,,2700.000,,,
ProfessionalFees,2828.000,475.000,4775.000,2675.000,4675.000,2675.000,2875.000,2775.000,2775.000,4875.000,2615.000,2975.000,5535.000,2975.000,2975.000,2975.000,5175.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,3500000.000,3500000.000,3500000.000,3500000.000,-7000000.000,3500000.000,3500000.000,3500000.000,-7000000.000,3644022.000,3750000.000,3750000.000,-7420661.000,3750000.000,3750000.000,3750000.000,-7500000.000
