,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,,,,,260000.000,260000.000,200000.000,200000.000,200000.000,200000.000,,2570000.000,3223000.000,,,3858000.000,4278333.000,4248166.000,4263166.000,5048166.000,5132166.000,4885499.000,4745500.000,4795500.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,,,,,3.380,3.380,3.050,3.050,3.050,3.050,,3.890,3.780,,,3.500,3.260,3.180,3.010,2.560,2.470,2.430,2.380,0.690
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableAggregateIntrinsicValue,,,,,,,,,,,,180000.000,0.000,,,0.000,0.000,0.000,,0.000,273000000.000,137000000.000,,68000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableNumber,,,,,,,,,,,,300000.000,300000.000,,,1273328.000,1428328.000,1458328.000,1915827.000,2355157.000,2955991.000,3067658.000,3675994.000,3811161.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableWeightedAverageExercisePrice,,,,,,,,,,,,3.380,3.380,,,3.770,3.700,3.610,3.580,3.370,2.880,2.640,2.600,0.760
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingAggregateIntrinsicValue,,,,,,,,,,,,,,,,,,,,,,,49000.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingNumber,,,,,,,204998.000,,,,,2570000.000,,,1029996.000,,,,885831.000,,,,1760167.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingWeightedAverageExercisePrice,,,,,,,3.020,,,,,,,,,,,,,,,,,
ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfExercisableOptions,,,,,,,,,,,,,,,1029996.000,,,,1915827.000,,,,3675994.000,
ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfOutstandingOptions,,,,,,,,,,,,,,,3628000.000,,,,4263166.000,,,,4745500.000,
