,2012-12-31,2013-03-31
AccountsPayableCurrent,200.000,
AccountsPayableRelatedPartiesCurrent,61390.000,61390.000
AdditionalPaidInCapital,197500.000,200000.000
Assets,2728.000,30578.000
AssetsCurrent,2728.000,30578.000
CashAndCashEquivalentsAtCarryingValue,2728.000,30578.000
CommonStockValue,31500.000,31500.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,322962.000,304312.000
LiabilitiesAndStockholdersEquity,2728.000,30578.000
LiabilitiesCurrent,95690.000,102390.000
PreferredStockValue,1000.000,1000.000
StockholdersEquity,-92962.000,-71812.000
