,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30
AmortizationOfDeferredLeasingFees,46043.000,46247.000,54281.000,56786.000,75083.000,70281.000,74264.000,77726.000
AmortizationOfFinancingCosts,,,79261.000,,,,79261.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-353737.000,,,,-796014.000,
CostsAndExpenses,1120851.000,1456597.000,1226924.000,1270034.000,1489371.000,1892503.000,1811467.000,1771817.000
CostsAndExpensesRelatedParty,,,,,,,43372.000,30230.000
Depreciation,367610.000,379159.000,400510.000,438025.000,451047.000,537428.000,615992.000,620068.000
IncomeLossFromContinuingOperationsPerOutstandingLimitedPartnershipAndGeneralPartnershipUnitBasicAndDiluted,,,,,,,-919.540,-862.140
IncreaseDecreaseInAccruedLiabilities,,,-48571.000,,,,-4250.000,
IncreaseDecreaseInDeferredCharges,,,196383.000,,,,447735.000,
IncreaseDecreaseInDueToRelatedParties,,,-20000.000,,,,,
IncreaseDecreaseInInterestPayableNet,,,-1832.000,,,,-1234.000,
IncreaseDecreaseInOtherOperatingAssets,,,,,,,-24196.000,
IncreaseDecreaseInOtherReceivables,,,16162.000,,,,,
InterestAndDividendIncomeOperating,,,,,,,238.000,156.000
InterestExpenseDebt,645848.000,642626.000,683934.000,680400.000,677516.000,741884.000,764423.000,762452.000
InterestPaid,,,606505.000,,,,686396.000,
InvestmentIncomeDividend,,15.000,,,,,,
InvestmentIncomeInterest,,199.000,,,,,,
InvestmentIncomeInterestAndDividend,235.000,,185.000,164.000,151.000,,,
NetCashProvidedByUsedInFinancingActivities,,,-629779.000,,,,-895499.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-629779.000,,,,-895499.000,
NetCashProvidedByUsedInInvestingActivities,,,16984.000,,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,16984.000,,,,,
NetCashProvidedByUsedInOperatingActivities,,,259058.000,,,,99485.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,259058.000,,,,99485.000,
NetIncomeLoss,-114780.000,3899961.000,-172503.000,-215633.000,3124130.000,-768538.000,-662069.000,-620738.000
OperatingLeasesRentExpenseMinimumRentals,,,,,,,2333.330,
OtherGeneralExpense,,,,,,,14705.000,18038.000
ProfessionalFees,30850.000,,53774.000,49229.000,188824.000,212589.000,205472.000,192793.000
RelatedPartyCosts,30500.000,31425.000,31425.000,31426.000,31797.000,237353.000,31797.000,31798.000
RepaymentsOfNotesPayable,,,,,,,267764.000,
Revenues,1006071.000,5356558.000,1054421.000,1054401.000,4613501.000,1123965.000,1149398.000,1151079.000
SalesRevenueNet,1006071.000,5356558.000,1054421.000,1054401.000,4613501.000,1123965.000,1149398.000,1151079.000
