,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31
AdjustmentForAmortization,,,,64078.000,28603.000,7885.000
AllowanceForDoubtfulAccountsReceivablePeriodIncreaseDecrease,,,,,-236209.000,9787.000
AllowanceForDoubtfulAccountsReceivableWriteOffs,,,408000.000,5000.000,4000.000,0.000
AllowanceForLoanAndLeaseLossRecoveryOfBadDebts,,,,-4435.000,533.000,1649.000
AmortizationOfAcquisitionCosts,329741.000,235511.000,133396.000,82599.000,-236209.000,
AmortizationOfFinancingCosts,,,,2399.000,2043.000,1350.000
AssetImpairmentCharges,,52000.000,48000.000,41000.000,0.000,
AssetManagementCosts,365807.000,320612.000,205706.000,155210.000,20249.000,46426.000
CapitalExpendituresIncurredButNotYetPaid,,,498000.000,,,
CapitalLeasesIncomeStatementDirectFinancingLeaseRevenue,,,,-365498.000,360217.000,378987.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-539646.000,-714195.000,-831489.000,119255.000,-127893.000,311887.000
CostsAndExpenses,10108980.000,7061407.000,4632368.000,3243423.000,538994.000,1336411.000
Depreciation,7929593.000,5167826.000,3469640.000,2244578.000,47319.000,740993.000
DepreciationAndAmortization,8259334.000,5403337.000,3603464.000,,,
DepreciationDepletionAndAmortization,,,,2327177.000,1413024.000,768927.000
DistributionMadeToLimitedPartnerCashDistributionsPaid,,,,-2176022.000,777868.000,177705.000
EarningsPerShareBasic,,,-0.220,,,
GainLossOnContractTermination,,,0.000,,,
GainLossOnDispositionOfAssets,,,,,-272617.000,-37053.000
GainLossOnInvestments,,,728.000,,,
GainLossOnSaleOfCapitalLeasesNet,,,-728.000,,,
GainLossOnSaleOfLeasedAssetsNetOperatingLeases,-29203.000,-293947.000,17749.000,,,
GainLossOnSaleOfPropertyPlantEquipment,29203.000,293947.000,-17749.000,85100.000,272617.000,37053.000
GainOnBusinessInterruptionInsuranceRecovery,,,,100652.000,,
GeneralPartnerDistributions,,37000.000,36000.000,,,
IncomeTaxReconciliationDeductionsOther,,-1127460.000,14421.000,,,
IncomeTaxReconciliationDispositionOfAssets,,273964.000,-15110.000,,,
IncomeTaxReconciliationNondeductibleExpenseAmortization,,206802.000,112664.000,,,
IncomeTaxReconciliationNondeductibleExpenseDepreciation,,2877116.000,1377838.000,,,
IncreaseDecreaseInAccountsPayable,,,,27937.000,42064.000,7493.000
IncreaseDecreaseInAccountsReceivableAndOtherOperatingAssets,,,,,172541.000,25556.000
IncreaseDecreaseInDueFromAffiliatesCurrent,,,,104032.000,-504470.000,697779.000
