,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsAndOtherReceivablesNetCurrent,0.000,824000.000,303000.000,603000.000,313000.000,200000.000,0.000,104000.000,0.000,75000.000,222000.000,4070000.000,496000.000,783000.000,2728000.000,5009000.000,2991000.000,1346000.000,1136000.000,233000.000,7000.000
AccountsPayableCurrent,3160000.000,3996000.000,5904000.000,5204000.000,6721000.000,,,,,,,,,,,,,,,,
AccountsPayableRelatedPartiesCurrent,,,,,,3667000.000,2555000.000,2982000.000,3562000.000,5497000.000,6706000.000,3989000.000,1089000.000,1213000.000,910000.000,559000.000,0.000,620000.000,44000.000,1133000.000,1623000.000
AccountsPayableTradeCurrent,,,,,,1330000.000,1571000.000,2184000.000,3229000.000,2991000.000,2592000.000,3630000.000,3151000.000,3081000.000,2982000.000,3185000.000,2629000.000,2290000.000,2516000.000,2554000.000,808000.000
AccountsReceivableNetCurrent,5497000.000,3998000.000,5459000.000,6413000.000,6717000.000,6777000.000,7016000.000,6778000.000,7864000.000,8203000.000,8495000.000,8051000.000,6148000.000,7020000.000,6192000.000,4551000.000,4135000.000,5233000.000,4711000.000,5302000.000,4875000.000
AccountsReceivableRelatedPartiesCurrent,,,,,,,,,,,,,,,,,591000.000,,,,
AccruedLiabilitiesCurrent,581000.000,4000.000,869000.000,315000.000,477000.000,558000.000,113000.000,432000.000,575000.000,369000.000,189000.000,397000.000,173000.000,115000.000,59000.000,165000.000,69000.000,941000.000,144000.000,146000.000,217000.000
AggregateIndebtedness,,58000000.000,60000000.000,,,,,,,,,,,,,,,,,,
AssetRetirementObligation,,2675000.000,2506000.000,2890000.000,,,,3942000.000,4598000.000,4770000.000,5401000.000,7363000.000,7476000.000,7614000.000,7653000.000,12679000.000,12865000.000,,,11331000.000,11471000.000
AssetRetirementObligationsNoncurrent,2181000.000,2675000.000,2506000.000,2890000.000,2956000.000,3863000.000,3910000.000,3942000.000,4598000.000,4770000.000,5401000.000,7363000.000,7476000.000,7614000.000,7653000.000,12679000.000,12865000.000,10219000.000,11009000.000,11331000.000,11471000.000
Assets,96791000.000,125148000.000,122427000.000,158590000.000,161323000.000,192559000.000,188847000.000,190083000.000,235429000.000,248794000.000,332754000.000,454628000.000,443949000.000,429467000.000,393922000.000,327086000.000,312122000.000,292633000.000,280624000.000,276286000.000,273251000.000
AssetsCurrent,11154000.000,15879000.000,10820000.000,11773000.000,10397000.000,11028000.000,8058000.000,8660000.000,8752000.000,10510000.000,14834000.000,42207000.000,30458000.000,24276000.000,37302000.000,35217000.000,24702000.000,36533000.000,9635000.000,8556000.000,8107000.000
AssetsHeldForSaleNotPartOfDisposalGroupCurrent,,,,,,,,,,,,,,,,,,20821000.000,,,
BusinessAcquisitionCostOfAcquiredEntityPurchasePrice,,,,28900000.000,,,,,,,,,,,,,,,,,
BusinessAcquisitionEquityInterestIssuedOrIssuableValueAssigned,,,,,,,,,34001000.000,34001000.000,86001000.000,86001000.000,0.000,0.000,0.000,0.000,,,,0.000,
BusinessAcquisitionPurchasePriceAllocationAssetsAcquired,,,,29105000.000,,,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationAssetsAcquiredLiabilitiesAssumedNet,,,,28856000.000,,,,,,,,,,,,,,,,,
Cash,,,,,,,,,,,,,,,,600000.000,100000.000,,,,
CashAndCashEquivalentsAtCarryingValue,5607000.000,3964000.000,1057000.000,1053000.000,908000.000,811000.000,659000.000,1434000.000,383000.000,1840000.000,1570000.000,3232000.000,300000.000,789000.000,961000.000,615000.000,105000.000,4019000.000,2115000.000,2359000.000,2799000.000
DeferredFinanceCostsGross,,,,,,,,400000.000,,,,3600000.000,,,,,,,,,
DeferredFinanceCostsNet,,,,,,,,400000.000,,,,4300000.000,,,,,,,,,
DeferredFinanceCostsOwnshareLendingArrangementIssuanceCostsGross,,,,,,,,,,,,,,,,,,,,400000.000,
DerivativeAssets,,,,,,3887000.000,158000.000,201000.000,184000.000,0.000,4668000.000,27044000.000,28025000.000,17358000.000,28718000.000,25563000.000,17683000.000,4687000.000,1376000.000,0.000,41000.000
DerivativeAssetsCurrent,0.000,6941000.000,3872000.000,3679000.000,1943000.000,2685000.000,101000.000,153000.000,0.000,0.000,4261000.000,26202000.000,22944000.000,15245000.000,27125000.000,24419000.000,16320000.000,4687000.000,1376000.000,0.000,13000.000
DerivativeAssetsLiabilitiesAtFairValueNet,,,,,,3704000.000,-1797000.000,-1426000.000,-2552000.000,-5372000.000,4668000.000,27044000.000,27207000.000,16831000.000,28718000.000,25563000.000,17683000.000,3013000.000,-2923000.000,,
DerivativeAssetsNoncurrent,0.000,5332000.000,2299000.000,858000.000,800000.000,1202000.000,57000.000,48000.000,184000.000,0.000,407000.000,842000.000,5081000.000,2113000.000,1593000.000,1144000.000,1363000.000,0.000,0.000,0.000,28000.000
DerivativeFairValueAmountOffsetAgainstCollateralNet,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
DerivativeFairValueOfDerivativeAsset,,12273000.000,6171000.000,4537000.000,2743000.000,4038000.000,788000.000,589000.000,295000.000,0.000,4697000.000,27044000.000,36645000.000,26305000.000,32837000.000,36050000.000,27222000.000,13030000.000,6631000.000,1976000.000,2458000.000
DerivativeFairValueOfDerivativeAssetAmountOffsetAgainstCollateral,,,,,,151000.000,630000.000,388000.000,111000.000,0.000,29000.000,0.000,8620000.000,8947000.000,4119000.000,10487000.000,9539000.000,8343000.000,5255000.000,1976000.000,2417000.000
DerivativeFairValueOfDerivativeLiability,,,,,,-334000.000,2585000.000,2015000.000,2847000.000,5372000.000,29000.000,0.000,9438000.000,9474000.000,4119000.000,10487000.000,9539000.000,10017000.000,9554000.000,9785000.000,5705000.000
DerivativeFairValueOfDerivativeLiabilityAmountOffsetAgainstCollateral,,,,,,-151000.000,630000.000,388000.000,111000.000,0.000,29000.000,0.000,8620000.000,8947000.000,4119000.000,10487000.000,9539000.000,8343000.000,5255000.000,1976000.000,2417000.000
DerivativeFairValueOfDerivativeNet,,,,,,3704000.000,-1797000.000,-1426000.000,-2552000.000,-5372000.000,4668000.000,27044000.000,27207000.000,16831000.000,28718000.000,25563000.000,17683000.000,3013000.000,-2923000.000,-7809000.000,-3247000.000
DerivativeLiabilities,,,,,,-183000.000,1955000.000,1627000.000,2736000.000,5372000.000,0.000,0.000,818000.000,527000.000,0.000,0.000,0.000,1674000.000,4299000.000,7809000.000,3288000.000
DerivativeLiabilitiesCurrent,1265000.000,,,,,,1559000.000,1627000.000,2720000.000,5372000.000,0.000,0.000,,,,,,443000.000,2307000.000,5314000.000,2974000.000
DerivativeLiabilitiesNoncurrent,975000.000,,,,,183000.000,396000.000,,16000.000,,,,818000.000,527000.000,,,,1231000.000,1992000.000,2495000.000,314000.000
DueFromRelatedParties,,,,,,,,,,,,,,,,,,400000.000,,,
DueToAffiliateCurrent,0.000,,,,,,,,,,,,,,,,,,,,
DueToRelatedPartiesCurrentAndNoncurrent,,,,,,,,,,,,,,,,,,200000.000,,,
EquityMethodInvestmentOwnershipPercentage,,,,1.000,,,,,,,,,,,,,,,,,
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisWithUnobservableInputs,,,,,,,,,,,,,-3545000.000,-2627000.000,-2127000.000,,-9327000.000,-7716000.000,-6607000.000,,-4175000.000
FutureNetCashFlowsRelatingToProvedOilAndGasReservesCashInflows,,,,,,,,,,,,2084005000.000,,,,1011096000.000,,,,741077000.000,
FutureNetCashFlowsRelatingToProvedOilAndGasReservesDevelopmentCosts,,,,,,,,,,,,76783000.000,,,,109669000.000,,,,65195000.000,
FutureNetCashFlowsRelatingToProvedOilAndGasReservesNetCashFlows,,,,,,,,,,,,1181904000.000,,,,320113000.000,,,,286744000.000,
FutureNetCashFlowsRelatingToProvedOilAndGasReservesProductionCosts,,,,,,,,,,,,825318000.000,,,,581314000.000,,,,389138000.000,
FutureNetCashFlowsRelatingToProvedOilAndGasReservesTenPercentAnnualDiscountForEstimatedTimingOfCashFlows,,,,,,,,,,,,517627000.000,,,,128693000.000,,,,129459000.000,
GeneralPartnersCapitalAccount,1364000.000,1638000.000,1491000.000,1814000.000,1795000.000,1811000.000,1713000.000,1716000.000,2271000.000,1438000.000,1534000.000,1328000.000,1233000.000,1093000.000,742000.000,47000.000,8000.000,-180000.000,-209000.000,-248000.000,-195000.000
LiabilitiesAndStockholdersEquity,96791000.000,125148000.000,122427000.000,158590000.000,161323000.000,192559000.000,188847000.000,190083000.000,235429000.000,248794000.000,332754000.000,454628000.000,443949000.000,429467000.000,393922000.000,327086000.000,312122000.000,292633000.000,280624000.000,276286000.000,273251000.000
LiabilitiesCurrent,5006000.000,4000000.000,6773000.000,5519000.000,7198000.000,5555000.000,5798000.000,7225000.000,10086000.000,14229000.000,9487000.000,8016000.000,4413000.000,4409000.000,3951000.000,33909000.000,21698000.000,59133000.000,5011000.000,9147000.000,5622000.000
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,,,,,,,,,,,,,,,2821000.000,,,
LimitedPartnersCapitalAccount,45265000.000,58835000.000,51657000.000,70367000.000,69374000.000,70147000.000,64942000.000,65072000.000,95345000.000,89242000.000,148224000.000,232814000.000,226902000.000,215717000.000,187469000.000,130451000.000,127551000.000,112230000.000,115756000.000,111898000.000,115654000.000
LimitedPartnersCapitalAccountUnitsIssued,17789561.000,17789561.000,17932849.000,18990849.000,19230350.000,19226350.000,19288562.000,19319362.000,21061940.000,21059141.000,23337511.000,29166112.000,29655804.000,29655804.000,29726289.000,29724890.000,29785481.000,29784015.000,29912230.000,29912230.000,29944796.000
LimitedPartnersCapitalAccountUnitsOutstanding,17789561.000,17789561.000,17932849.000,18990849.000,19230350.000,19226350.000,19288562.000,19319362.000,21061940.000,21059141.000,23337511.000,29166112.000,29655804.000,29655804.000,29726289.000,29724890.000,29785481.000,29784015.000,29912230.000,29912230.000,29944796.000
LineOfCredit,,,,,,,,,,,,205000000.000,203000000.000,200000000.000,194000000.000,,,,127900000.000,,
LineOfCreditFacilityAmountOutstanding,,,,78000000.000,80000000.000,111000000.000,112000000.000,112000000.000,123000000.000,139000000.000,168000000.000,,,,,,,,,,
LineOfCreditFacilityCurrentBorrowingCapacity,,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,130000000.000,150000000.000,150000000.000,170000000.000,190000000.000,240000000.000,,,,,,,,,
