,2012-03-31,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-06-30
CashAndCashEquivalentsPeriodIncreaseDecrease,,-4270.000,,,,,,,,-5869.000,
DebtInstrumentInterestRateDuringPeriod,,,,,,,,,,0.050,
EarningsPerShareBasicAndDiluted,,,,,,,,,,,0.000
GeneralAndAdministrativeExpense,885.000,645.000,1425.000,1380.000,2839.000,300.000,17075.000,25662.000,4202.000,7702.000,35.000
IncreaseDecreaseInAccountsPayable,,-2854.000,,,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,,,,,,16708.000,
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,,,,,,2050.000,,,,,
IncreaseDecreaseInDueFromRelatedParties,,2104.000,,,,,,,,,
IncreaseDecreaseInInterestPayableNet,,,,,,,,,,2940.000,
IncreaseDecreaseInOtherOperatingAssets,,,,,,,,,,625.000,
IncreaseDecreaseInPrepaidExpense,,625.000,,,,,,,,,
IncreaseDecreaseInReceivables,,,,,,,,,,22500.000,
InterestExpense,,,,,,,759.000,1397.000,,2940.000,3303.000
InterestExpenseBorrowings,,,,,,,,,,7383.000,
InterestIncomeOther,,,,,,,68.000,,,,
LineOfCreditFacilityIncreaseDecreaseForPeriodNet,,,,,,,,,,65000.000,
NetCashProvidedByUsedInFinancingActivities,,2104.000,,,,,,,,65000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,2104.000,,,,,,,,65000.000,
NetCashProvidedByUsedInInvestingActivities,,,,,,,,,,-22500.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,,,,,-22500.000,
NetCashProvidedByUsedInOperatingActivities,,-6374.000,,,,,,,,-48369.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-6374.000,,,,,,,,-48369.000,
NetIncomeLoss,-4385.000,-4145.000,-4925.000,-4880.000,-9589.000,-2050.000,-71557.000,-109345.000,-52821.000,-68642.000,-6338.000
OperatingExpenses,4385.000,4145.000,4925.000,4880.000,9589.000,2050.000,71557.000,109345.000,52821.000,68642.000,6338.000
ProceedsFromLoans,,,,,,,,,,65000.000,
ProfessionalFees,3500.000,3500.000,3500.000,3500.000,6750.000,1750.000,53723.000,82286.000,46775.000,58000.000,3000.000
ProfitLoss,,-4145.000,,,,,,,,,
RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,,,,,,,,,,17502.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,,,,,,,52424875.000
WeightedAverageNumberOfSharesOutstandingBasic,11016566.000,11270000.000,1619138869.000,104849750.000,-843148475.000,104849750.000,104849750.000,104849750.000,-262124375.000,52424875.000,
