,2016-12-31
EarningsPerShareBasicAndDiluted,-0.000
EffectiveIncomeTaxRateContinuingOperations,0.003
GeneralAndAdministrativeExpense,51787.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-51787.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,17607.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,1073.000
NetIncomeLoss,-51787.000
OperatingExpenses,51787.000
OperatingIncomeLoss,-51787.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,3500000.000
