,2014-12-31,2015-12-31
CashAndCashEquivalentsPeriodIncreaseDecrease,106863.000,-26512.000
ComprehensiveIncomeNetOfTax,-117366.000,-133889.000
CostOfRevenue,,24803.000
Depreciation,614.000,1185.000
DepreciationDepletionAndAmortization,614.000,1185.000
EarningsPerShareBasicAndDiluted,0.000,-0.000
EffectOfExchangeRateOnCashAndCashEquivalents,-6767.000,-4493.000
GrossProfit,,84243.000
IncomeLossFromContinuingOperations,-110620.000,
IncomeTaxesPaid,0.000,0.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,113148.000,76887.000
IncreaseDecreaseInAccountsReceivable,72000.000,-72000.000
IncreaseDecreaseInDueToRelatedPartiesCurrent,36132.000,-35882.000
IncreaseDecreaseInPrepaidExpense,104.000,435.000
InterestPaid,0.000,0.000
NetCashProvidedByUsedInFinancingActivities,150000.000,0.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,150000.000,0.000
NetCashProvidedByUsedInInvestingActivities,-3555.000,-6540.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-3555.000,-6540.000
NetCashProvidedByUsedInOperatingActivities,-32815.000,-15479.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-32815.000,-15479.000
NetIncomeLoss,-110605.000,-129234.000
OperatingExpenses,192486.000,213614.000
OperatingIncomeLoss,,-129371.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,-6761.000,-4655.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,-6761.000,-4655.000
OtherNonoperatingIncome,15.000,
OtherNonoperatingIncomeExpense,,137.000
PaymentsToAcquirePropertyPlantAndEquipment,3555.000,6540.000
ProceedsFromIssuanceOfCommonStock,150000.000,0.000
RelatedPartyTransactionAmountsOfTransaction,27000.000,
Revenues,81866.000,109046.000
SalariesWagesAndOfficersCompensation,,9000.000
SalesRevenueNet,81866.000,109046.000
SellingGeneralAndAdministrativeExpense,191872.000,212429.000
StockIssuedDuringPeriodValueNewIssues,150000.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,25479452.000,30000000.000
