,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,-67000.000,,,,,,,,,,,,,
AmortizationOfFinancingCostsAndDiscounts,-242000.000,,,,-131000.000,,,,443000.000,,,,444000.000,
AmortizationOfIntangibleAssets,44000.000,43000.000,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-1139000.000,,,,,,,,,,,,,
CasinoExpenses,5804000.000,5750000.000,5312000.000,5833000.000,6372000.000,5978000.000,6092000.000,6558000.000,6003000.000,6482000.000,6588000.000,7572000.000,7057000.000,6741000.000
CasinoRevenue,12087000.000,11526000.000,11347000.000,12516000.000,13767000.000,13526000.000,13372000.000,14818000.000,15224000.000,15731000.000,15311000.000,17364000.000,17370000.000,16932000.000
CostsAndExpenses,15771000.000,15810000.000,15906000.000,16594000.000,16302000.000,16540000.000,17402000.000,17863000.000,16560000.000,17956000.000,18502000.000,19253000.000,18098000.000,18603000.000
DepreciationAndAmortization,1082000.000,1082000.000,1115000.000,1383000.000,1141000.000,1267000.000,1331000.000,1260000.000,1244000.000,1347000.000,1466000.000,1311000.000,1244000.000,1268000.000
FoodAndBeverageCostOfSales,2731000.000,2829000.000,2871000.000,3135000.000,2822000.000,2970000.000,3173000.000,3320000.000,3132000.000,3356000.000,3469000.000,3566000.000,3449000.000,3656000.000
FoodAndBeverageRevenue,3131000.000,3349000.000,2978000.000,3469000.000,3561000.000,3675000.000,3471000.000,4087000.000,3940000.000,4473000.000,4125000.000,4606000.000,4365000.000,4680000.000
GainLossOnDispositionOfAssets1,,,,,,136000.000,,,129000.000,,,,,
GainsLossesOnExtinguishmentOfDebt,,,,,,,,,,,,,,-5141000.000
IncreaseDecreaseInAccountsPayable,-1523000.000,,,,-904000.000,,,,355000.000,,,,-1139000.000,
IncreaseDecreaseInAccruedLiabilities,-288000.000,,,,,,,,,,,,,
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,,,,,43000.000,,,,-807000.000,,,,-1076000.000,
IncreaseDecreaseInOtherOperatingCapitalNet,8000.000,,,,-7000.000,,,,112000.000,,,,80000.000,
IncreaseDecreaseInReceivables,460000.000,,,,390000.000,,,,-69000.000,,,,-211000.000,
InterestExpense,1065000.000,1698000.000,1247000.000,1252000.000,1279000.000,1096000.000,1348000.000,1332000.000,1331000.000,2059000.000,1180000.000,1171000.000,1187000.000,456000.000
InterestPaid,43000.000,,,,36000.000,,,,888000.000,,,,743000.000,
NetCashProvidedByUsedInContinuingOperations,,,,,1249000.000,,,,4068000.000,,,,2168000.000,
NetCashProvidedByUsedInFinancingActivities,-255000.000,,,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-255000.000,,,,,,,,,,,,,
NetCashProvidedByUsedInInvestingActivities,-175000.000,,,,,,,,-601000.000,,,,-630000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-175000.000,,,,,,,,-601000.000,,,,-630000.000,
NetCashProvidedByUsedInOperatingActivities,-709000.000,,,,1641000.000,,,,4706000.000,,,,2838000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-709000.000,,,,1641000.000,,,,4706000.000,,,,2838000.000,
NetIncomeLoss,-642000.000,-1713000.000,-1786000.000,-1120000.000,573000.000,438000.000,-1070000.000,286000.000,2083000.000,977000.000,707000.000,2378000.000,3368000.000,-1574000.000
OccupancyCosts,574000.000,621000.000,619000.000,691000.000,694000.000,716000.000,728000.000,724000.000,750000.000,796000.000,809000.000,789000.000,887000.000,880000.000
OccupancyRevenue,1421000.000,1349000.000,1247000.000,1257000.000,1575000.000,1594000.000,1433000.000,1484000.000,1717000.000,1825000.000,1726000.000,1832000.000,1863000.000,1878000.000
