,2012-01-31,2012-04-30,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30
CashAndCashEquivalentsPeriodIncreaseDecrease,,,227.000,,,,944.000,,,,-62.000,,,,-215.000,,,,-19242.000,,
ComprehensiveIncomeNetOfTax,,,,,,,,,,,,,,,,-24198.000,-184498.000,,-48046.000,-51050.000,-67721.000
EarningsPerShareBasicAndDiluted,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.000,0.000,0.000,0.000,-0.000,0.000,-0.000
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,,,,,,,,,,,,,,,173.000,,
EffectiveIncomeTaxRateContinuingOperations,,,,,,,,,,,,,,,0.000,,,,,,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,,,,,,,,,,,,0.340,,,,,,
ForeignCurrencyTransactionGainLossBeforeTax,,,,,,,,,,,,,,,97.000,,,,,,
GeneralAndAdministrativeExpense,1942.000,2437.000,174.000,5305.000,1717.000,2588.000,1219.000,1092.000,384.000,-370.000,1191.000,645.000,2077.000,53505.000,24684.000,17619.000,173970.000,109077.000,31802.000,33264.000,53103.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,,,,,,,,,,,,,,-24716.000,,,,,,
IncreaseDecreaseInAccountsPayable,,,11480.000,,,,6571.000,,,,11841.000,,,,6669.000,,,,,,
IncreaseDecreaseInAccountsReceivable,,,,,,,,,,,,,,,4060.000,,,,,,
IncreaseDecreaseInInterestPayableNet,,,,,,,,,,,,,,,,,,,13623.000,,
IncreaseDecreaseInOtherAccountsPayable,,,,,,,,,,,,,,,,,,,-7617.000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,,,,,,,,,,,,,,,,,97202.000,,
InterestExpense,,-126.000,641.000,545.000,1019.000,2528.000,2538.000,1589.000,-2294.000,7085.000,1882.000,1939.000,2127.000,123.000,129.000,7170.000,,,15382.000,14508.000,
InterestIncomeExpenseNet,,,,,,,,,,,,,,,,,-8257.000,,,,-5036.000
NetCashProvidedByUsedInFinancingActivities,,,2000.000,,,,14200.000,,,,5480.000,,,,21892.000,,,,120000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,2000.000,,,,14200.000,,,,5480.000,,,,21892.000,,,,120000.000,,
NetCashProvidedByUsedInOperatingActivities,,,-1773.000,,,,-13256.000,,,,-5542.000,,,,-22107.000,,,,-139242.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-1773.000,,,,-13256.000,,,,-5542.000,,,,-22107.000,,,,-139242.000,,
NetIncomeLoss,-11629.000,-12456.000,-13253.000,-21913.000,-14986.000,-14865.000,-19827.000,-8318.000,-9428.000,-11078.000,-17383.000,-10534.000,-13454.000,-22040.000,-24716.000,-24789.000,-182227.000,-126266.000,-47184.000,-47772.000,-58139.000
NonoperatingIncomeExpense,,-126.000,-641.000,-545.000,-1019.000,-2528.000,-2538.000,-1589.000,-2294.000,-2497.000,-1882.000,-1939.000,-2127.000,,,,,,,,
OperatingExpenses,11629.000,12330.000,12612.000,21368.000,13967.000,12337.000,17289.000,6729.000,7134.000,8581.000,15501.000,8595.000,11327.000,,,,,,,,
OperatingIncomeLoss,-11629.000,-12330.000,-12612.000,-21368.000,-13967.000,-12337.000,-17289.000,-6729.000,-7134.000,-8581.000,-15501.000,-8595.000,-11327.000,-21995.000,-24684.000,-17619.000,-173970.000,-109077.000,-31802.000,-33264.000,-53103.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,,,,,,,,,,,,,,,,,,,173.000,,-9582.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,,,,,,,,,,,,,591.000,-2271.000,,-862.000,-3278.000,
ProceedsFromFederalHomeLoanBankBorrowings,,,2000.000,,,,14200.000,,,,5480.000,,,,,,,,,,
ProceedsFromIssuanceOfCommonStock,,,,,,,,,,,,,,,,,,,120000.000,,
ProceedsFromRelatedPartyDebt,,,,,,,,,,,,,,,21892.000,,,,,,
ProfessionalFees,7187.000,7393.000,9938.000,13563.000,9750.000,7249.000,13570.000,3137.000,4250.000,6451.000,11810.000,5450.000,6750.000,,,,,,,,
SalesRevenueGoodsNet,,,,,,,,,,,,,0.000,,,,,,,,
StockIssuedDuringPeriodValueOther,,,,,,,,,,,,,,,,,,,120000.000,,
ValuationAllowanceDeferredTaxAssetChangeInAmount,,,,,,,,,,,,,,,5000.000,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,,,,,,,,,107145000.000,,107145000.000,107145000.000,203180556.000,-150922277.000,647345000.000,647345000.000,647345000.000
