,2011-03-31,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30
AffiliateCosts,,,149000000.000,150000000.000,165000000.000,135000000.000,174000000.000,194000000.000,203000000.000
AllocatedShareBasedCompensationExpense,4000000.000,,,,,,,,
AmortizationOfDebtDiscountPremium,,,-28000000.000,,,,-17000000.000,,
AmortizationOfIntangibleAssets,,,,364000000.000,347000000.000,,,,
BusinessCombinationAcquisitionRelatedCosts,3000000.000,19000000.000,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,52000000.000,,,,,,,,
CashPaidForCapitalizedInterest,5000000.000,,,,,,,,
CommonStockDividendsPerShareDeclared,0.080,,,,,,,,
ComprehensiveIncomeNetOfTax,218000000.000,,77000000.000,37000000.000,83000000.000,-261000000.000,118000000.000,140000000.000,-59000000.000
CostOfGoodsAndServicesSold,1178000000.000,,1175000000.000,1213000000.000,1227000000.000,1199000000.000,1107000000.000,1177000000.000,1216000000.000
CostsAndExpenses,2267000000.000,,,,,,,,
DeferredIncomeTaxExpenseBenefit,145000000.000,,47000000.000,,,,67000000.000,,
DepreciationAndAmortization,533000000.000,,741000000.000,738000000.000,727000000.000,742000000.000,682000000.000,680000000.000,687000000.000
EarningsPerShareBasic,0.120,,,,,,,,
EarningsPerShareDiluted,0.120,,,,,,,,
FairValueInputsDiscountRate,,,,,0.060,,,,
GainsLossesOnExtinguishmentOfDebt,,,,-45000000.000,-1000000.000,,,,0.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,357000000.000,,125000000.000,64000000.000,137000000.000,178000000.000,195000000.000,175000000.000,-99000000.000
IncomeLossFromEquityMethodInvestments,,,,,,,,,0.000
IncomeTaxExpenseBenefit,146000000.000,,48000000.000,27000000.000,54000000.000,67000000.000,78000000.000,37000000.000,-38000000.000
IncomeTaxesPaidNet,1000000.000,,,,,,33000000.000,,
IncreaseDecreaseInAccountsPayable,-71000000.000,,-123000000.000,,,,27000000.000,,
IncreaseDecreaseInAccountsReceivable,-80000000.000,,9000000.000,,,,38000000.000,,
IncreaseDecreaseInAccruedTaxesPayable,,,41000000.000,,,,48000000.000,,
IncreaseDecreaseInOtherCurrentAssetsAndLiabilitiesNet,,,-70000000.000,,,,49000000.000,,
IncreaseDecreaseInOtherNoncurrentAssetsAndLiabilitiesNet,,,47000000.000,,,,3000000.000,,
IncreaseDecreaseInOtherOperatingAssets,-19000000.000,,,,,,,,
IncreaseDecreaseInOtherOperatingCapitalNet,,,10000000.000,,,,,,
IncreaseDecreaseInPensionAndPostretirementObligations,,,,,,,-30000000.000,,
IncrementalCommonSharesAttributableToCallOptionsAndWarrants,11191000.000,,,,,,,,
InterestExpense,227000000.000,,174000000.000,154000000.000,147000000.000,136000000.000,,,
InterestExpenseRelatedParty,,,,30000000.000,37000000.000,,65000000.000,63000000.000,74000000.000
InterestIncomeExpenseNet,-227000000.000,,,,,,,,
InterestPaidCapitalized,,,,,,,5000000.000,,
InterestPaidNet,236000000.000,,,,,,142000000.000,,
NetCashProvidedByUsedInContinuingOperations,,,1000000.000,,,,-26000000.000,,
NetCashProvidedByUsedInFinancingActivities,-317000000.000,,-792000000.000,,,,529000000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-317000000.000,,-792000000.000,,,,529000000.000,,
NetCashProvidedByUsedInInvestingActivities,-408000000.000,,316000000.000,,,,-1374000000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-408000000.000,,316000000.000,,,,-1374000000.000,,
NetCashProvidedByUsedInOperatingActivities,777000000.000,,477000000.000,,,,819000000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,777000000.000,,477000000.000,,,,819000000.000,,
NetIncomeLoss,211000000.000,,77000000.000,37000000.000,83000000.000,111000000.000,117000000.000,138000000.000,-61000000.000
NetIncomeLossAvailableToCommonStockholdersBasic,211000000.000,,,,,,,,
NonoperatingIncomeExpense,-222000000.000,,-165000000.000,-227000000.000,-185000000.000,-197000000.000,-200000000.000,-205000000.000,-215000000.000
OperatingExpenses,,,2549000000.000,2545000000.000,2503000000.000,2481000000.000,2401000000.000,2460000000.000,2732000000.000
OperatingIncomeLoss,579000000.000,,290000000.000,291000000.000,322000000.000,375000000.000,395000000.000,380000000.000,116000000.000
OtherComprehensiveIncomeDefinedBenefitPlansTax,4000000.000,,0.000,,,,,,
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,7000000.000,,,,,,,,
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansTax,,,,,,,,-1000000.000,-1000000.000
OtherComprehensiveIncomeMinimumPensionLiabilityNetAdjustmentTax,-7000000.000,,,,,,,,
OtherIncome,93000000.000,,,,,,,,
OtherNonoperatingIncomeExpense,5000000.000,,9000000.000,2000000.000,,,6000000.000,-1000000.000,3000000.000
PaymentsForProceedsFromOtherInvestingActivities,-2000000.000,,,,,,,,
PaymentsForProceedsFromOtherLoansAndLeases,,,,,,,1027000000.000,,
PaymentsOfDividends,141000000.000,,,,,,,,
PaymentsToAcquireProductiveAssets,410000000.000,,426000000.000,,,,347000000.000,,
ProceedsFromContributionsFromAffiliates,,,48000000.000,,,,-21000000.000,,
ProceedsFromIssuanceOfCommonStock,14000000.000,,,,,,,,
ProceedsFromPaymentsForOtherFinancingActivities,13000000.000,,,,,,,,
ProceedsFromRepaymentsOfNotesPayable,,,,,,,588000000.000,,
