,2011-06-30,2011-09-30,2012-03-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,35000.000
AdvertisingExpense,176000.000,194000.000,208000.000
AmortizationOfDebtDiscountPremium,,,236000.000
CommonStockDividendsPerShareDeclared,2.000,0.000,
ComprehensiveIncomeNetOfTax,,,1185000.000
CurrentIncomeTaxExpenseBenefit,333000.000,343000.000,445000.000
DeferredIncomeTaxExpenseBenefit,-22000.000,,
DepreciationDepletionAndAmortization,,,145000.000
EarningsPerShareBasic,2.610,2.210,2.660
EarningsPerShareDiluted,2.610,2.200,2.660
FairValueOfAssetsAcquired,,,300000.000
FederalDepositInsuranceCorporationPremiumExpense,260000.000,64000.000,160000.000
FeesAndCommissionsDepositorAccounts,892000.000,860000.000,828000.000
GainLossOnSalesOfLoansNet,,,66000.000
GainsLossesOnSalesOfOtherRealEstate,,,53000.000
ImpairmentOfRealEstate,,480000.000,2000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,1845000.000,1637000.000,1991000.000
IncomeTaxExpenseBenefit,311000.000,343000.000,445000.000
IncreaseDecreaseInFederalFundsSold,,,-13888000.000
IncreaseDecreaseInInterestAndDividendsReceivable,,,-53000.000
IncreaseDecreaseInOtherOperatingAssets,,,396000.000
IncreaseDecreaseInOtherOperatingLiabilities,,,-324000.000
IncreaseDecreaseInTimeDeposits,,,-3547000.000
InformationTechnologyAndDataProcessing,,447000.000,439000.000
InterestAndDividendIncomeOperating,6548000.000,6511000.000,6313000.000
InterestAndFeeIncomeLoansAndLeases,5050000.000,4967000.000,4727000.000
InterestExpense,1149000.000,1076000.000,824000.000
InterestExpenseBorrowings,67000.000,65000.000,50000.000
InterestExpenseDeposits,1082000.000,1011000.000,774000.000
InterestIncomeExpenseAfterProvisionForLoanLoss,5174000.000,5281000.000,5189000.000
InterestIncomeExpenseNet,5399000.000,5435000.000,5489000.000
InterestIncomeFederalFundsSold,41000.000,31000.000,32000.000
InterestIncomeSecuritiesTaxExempt,254000.000,243000.000,241000.000
InterestIncomeSecuritiesTaxable,1203000.000,1270000.000,1313000.000
InterestPaid,,,819000.000
LaborAndRelatedExpense,1846000.000,2376000.000,2435000.000
NetCashProvidedByUsedInContinuingOperations,,,4921000.000
NetCashProvidedByUsedInFinancingActivities,,,19828000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,19828000.000
NetCashProvidedByUsedInInvestingActivities,,,-16655000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-16655000.000
NetCashProvidedByUsedInOperatingActivities,,,1748000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,1748000.000
NetIncomeLossAvailableToCommonStockholdersBasic,,1294000.000,1546000.000
NoninterestExpense,4457000.000,4805000.000,4362000.000
NoninterestIncome,1128000.000,1161000.000,1164000.000
NoninterestIncomeOtherOperatingIncome,211000.000,173000.000,217000.000
OccupancyNet,176000.000,352000.000,377000.000
OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent,,,-361000.000
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,,-361000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,,,-546000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodTax,,,-185000.000
OtherLaborRelatedExpenses,480000.000,,
OtherNoninterestExpense,1084000.000,522000.000,449000.000
OtherTaxExpenseBenefit,,106000.000,97000.000
PaymentsForOriginationAndPurchasesOfLoansHeldForSale,,,2714000.000
PaymentsForProceedsFromLoansAndLeases,,,-3985000.000
PaymentsForRepurchaseOfCommonStock,,,250000.000
PaymentsToAcquireAvailableForSaleSecurities,,,35737000.000
PaymentsToAcquireHeldToMaturitySecurities,,,608000.000
PaymentsToAcquireProductiveAssets,,,142000.000
ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,,,27059000.000
ProceedsFromMaturitiesPrepaymentsAndCallsOfHeldToMaturitySecurities,,,1504000.000
ProceedsFromSaleOfLoansHeldForSale,,,2984000.000
ProceedsFromSaleOfOtherRealEstate,,,1172000.000
ProfessionalFees,,119000.000,99000.000
ProfitLoss,1534000.000,,
ProvisionForLoanLossesExpensed,225000.000,154000.000,300000.000
RepaymentsOfOtherDebt,,,1156000.000
ShareBasedCompensation,,,35000.000
StockRedeemedOrCalledDuringPeriodValue,,,250000.000
