,2012-04-30,2012-10-31,2013-01-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2015-03-31,2016-03-31,2016-06-30
AccretionExpense,,,,,,,,,,,2329.000,
AdvertisingExpense,,,,9560.000,30087.000,12027.000,1344.000,980.000,0.000,0.000,,
CashAcquiredFromAcquisition,,,,,,,,0.000,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,-100932.000,,255844.000,,,,-21300.000,,4543.000,-7967.000,
CostOfGoodsSold,,,,815.000,1166.000,-15.000,-12.000,0.000,0.000,,,
DefinedBenefitPlanForeignCurrencyExchangeRateChangesBenefitObligation,,,,2092.000,,,,,,,,
DefinedBenefitPlanForeignCurrencyExchangeRateChangesPlanAssets,,,,-1348.000,,,,,,,,
EarningsPerShareBasicAndDiluted,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
EffectOfExchangeRateOnCashAndCashEquivalents,,,,3269.000,,,,-765.000,,24779.000,-464.000,
ForeignCurrencyTransactionGainBeforeTax,,,,,,,,-2196.000,2567.000,21518.000,,
ForeignCurrencyTransactionGainLossBeforeTax,,,,,9446.000,-3576.000,,,,,,
GeneralAndAdministrativeExpense,6538.000,12432.000,4210.000,3835.000,31242.000,13618.000,7124.000,3210.000,207.000,6436.000,8220.000,1017.000
GrossProfit,,,,112.000,-432.000,83.000,-13.000,0.000,0.000,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,-12432.000,,,-147138.000,-56952.000,,-23435.000,-22454.000,-35863.000,,
IncomeTaxesPaid,,,,,,,,,,,0.000,
IncomeTaxesPaidNet,,0.000,,0.000,,,,0.000,,,,
IncreaseDecreaseInAccountsPayable,,5000.000,,,,,,-2313.000,,-3766.000,903.000,
IncreaseDecreaseInAccountsReceivable,,,,11602.000,,,,215.000,,204.000,,
IncreaseDecreaseInAccruedInterestReceivableNet,,-719.000,,,,,,,,,,
IncreaseDecreaseInAccruedLiabilities,,2124.000,,,,,,3925.000,,684.000,4719.000,
IncreaseDecreaseInOtherAccountsPayable,,,,23869.000,,,,,,,,
IncreaseDecreaseInPrepaidExpense,,0.000,,0.000,,,,,,,,
IncreaseDecreaseInRestrictedCash,,,,0.000,,,,2351.000,,0.000,,
InterestExpense,-396.000,-624.000,-624.000,,-1335.000,-1611.000,,-1278.000,1300.000,-1495.000,4718.000,5171.000
InterestExpenseOther,,,,-1805.000,,,,,,,,
InterestPaid,,0.000,,,,,,,,,0.000,
InterestPaidNet,,,,0.000,,,,0.000,,,,
InvestmentIncomeInterest,,719.000,1260.000,,,,,,,,,
LeaseAndRentalExpense,,,,,2051.000,2022.000,,0.000,0.000,,,
LeaseOperatingExpense,0.000,0.000,0.000,,,,,,,,,
ManagementFeeExpense,,,,,,,,2447.000,0.000,0.000,,
NetCashProvidedByUsedInFinancingActivities,,5000.000,,0.000,,,,0.000,,20000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,5000.000,,0.000,,,,0.000,,20000.000,,
NetCashProvidedByUsedInInvestingActivities,,-100000.000,,267058.000,,,,2351.000,,0.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-100000.000,,267058.000,,,,2351.000,,0.000,,
NetCashProvidedByUsedInOperatingActivities,,-5932.000,,-14483.000,,,,-22886.000,,-40236.000,-7503.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-5932.000,,-14483.000,,,,-22886.000,,-40236.000,-7503.000,
NetIncomeLoss,,-12337.000,-3574.000,-72163.000,-148473.000,-58563.000,-10842.000,-24713.000,-23754.000,-37358.000,-15454.000,-15888.000
NetIncomeLossAttributableToRedeemableNoncontrollingInterest,,,,-70358.000,,,,,,,,
OperatingExpenses,6538.000,12432.000,4210.000,70470.000,146706.000,57035.000,9766.000,23435.000,22454.000,35863.000,10736.000,10717.000
OperatingIncomeLoss,-5374.000,,-4210.000,,,,,,,,-10736.000,-10717.000
OtherSellingAndMarketingExpense,,,,473.000,1045.000,961.000,745.000,,,,,
PaymentsToAcquireOilAndGasPropertyAndEquipment,,0.000,,,,,,,,,,
ProceedsFromCollectionOfLoansReceivable,,-100000.000,,,,,,,,,,
ProceedsFromConstructionLoansPayable,,,,0.000,,,,,,,,
ProceedsFromIssuanceOfCommonStock,,5000.000,,0.000,,,,0.000,,,,
ProceedsFromLoans,,,,,,,,0.000,,,,
ProceedsFromOtherEquity,,,,267058.000,,,,,,,,
ProceedsFromRelatedPartyDebt,,0.000,,,,,,,,20000.000,,
ProfessionalFees,,,,38300.000,32292.000,7441.000,-10711.000,13379.000,11680.000,4909.000,1700.000,9576.000
ProfitLoss,-5770.000,-12337.000,,-72163.000,,,,-24713.000,,-37358.000,-15454.000,
ResearchAndDevelopmentExpense,,,,,,5440.000,,615.000,0.000,0.000,,
ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,,,,4989.000,8222.000,,,,,,,
Revenues,1164.000,0.000,0.000,927.000,734.000,68.000,-25.000,0.000,0.000,,,
SalesRevenueNet,1164.000,0.000,0.000,927.000,734.000,68.000,-25.000,0.000,0.000,,,
