,2011-12-31,2012-12-31,2013-12-31
AssetManagementCosts,2725479.000,2855911.000,3043878.000
CashAndCashEquivalentsPeriodIncreaseDecrease,985084.000,,
CostsAndExpenses,52375335.000,54264255.000,53079423.000
DeferredCompensationArrangementWithIndividualCompensationExpense,,576600.000,188600.000
DepreciationAndAmortization,18246506.000,17808970.000,16238553.000
DepreciationDepletionAndAmortization,19131922.000,18533229.000,16943888.000
DistributionMadeToLimitedPartnerCashDistributionsPaid,,,-2219055.000
DistributionMadeToMemberOrLimitedPartnerCashDistributionsPaid,-2233329.000,-2219055.000,
EquityMethodInvestmentRealizedGainLossOnDisposal,-3163.000,,
GainLossOnDispositionOfAssets,-186770.000,-230784.000,-117169.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,-13137315.000,-12965557.000,
IncomeLossFromContinuingOperationsPerOutstandingLimitedPartnershipUnit,-1.170,-1.170,
IncomeLossFromContinuingOperationsPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,-0.590
IncomeLossFromEquityMethodInvestments,-1846169.000,-173430.000,-136834.000
IncomeTaxExpenseBenefit,,0.000,0.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,1856590.000,356292.000,-1451541.000
IncreaseDecreaseInAccountsReceivable,153403.000,58306.000,-333284.000
IncreaseDecreaseInDueToAffiliates,72122.000,-36246.000,20624.000
IncreaseDecreaseInOtherOperatingAssets,-2376553.000,-635004.000,431247.000
IncreaseDecreaseInOtherOperatingLiabilities,246708.000,125559.000,469408.000
IncreaseDecreaseInRestrictedCashForOperatingActivities,149010.000,1599978.000,-1317625.000
IncreaseDecreaseInSecurityDeposits,24988.000,-3826.000,59400.000
InterestAndOtherIncome,784798.000,100238.000,1635770.000
InterestExpense,14145721.000,13999712.000,13711252.000
InterestPaid,13566892.000,13647833.000,13380805.000
MinorityInterestIncreaseFromStockIssuance,3971750.000,-398000.000,
NetCashProvidedByUsedInContinuingOperations,,75681.000,249192.000
NetCashProvidedByUsedInFinancingActivities,-4184763.000,-1274698.000,-7896789.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-4184763.000,-1274698.000,-7896789.000
NetCashProvidedByUsedInInvestingActivities,-7135410.000,-5703922.000,-3038526.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-7135410.000,-5703922.000,-3038526.000
NetCashProvidedByUsedInOperatingActivities,12305257.000,7054301.000,11184507.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,12305257.000,7054301.000,11184507.000
NetIncomeLoss,-12036359.000,-12022529.000,-5908903.000
NetIncomeLossAllocatedToLimitedPartners,-11269325.000,-11248327.000,-5528393.000
NetIncomeLossAttributableToNoncontrollingInterest,-1100956.000,-943028.000,-627513.000
NetIncomeLossPerOutstandingLimitedPartnershipUnit,-1.070,-1.080,
NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,-0.530
NoncontrollingInterestIncreaseFromSubsidiaryEquityIssuance,,,-405975.000
OperatingCostsAndExpenses,16055315.000,15654982.000,14147459.000
OperatingIncomeLoss,2259710.000,3002047.000,5998548.000
OperatingLeasesIncomeStatementLeaseRevenue,52823586.000,55437445.000,57263675.000
PartnersCapitalAccountRedemptions,1356059.000,,
PaymentsOfCapitalDistribution,2247603.000,2219055.000,2219055.000
PaymentsOfDividendsMinorityInterest,245000.000,398000.000,405975.000
PaymentsOfLoanCosts,506934.000,25000.000,27671.000
PaymentsToAcquireAndDevelopRealEstate,4829961.000,3147423.000,1727320.000
PaymentsToAcquireInterestInJointVenture,2305449.000,2556499.000,699206.000
ProceedsFromDistributionsReceivedFromRealEstatePartnerships,240000.000,180000.000,291000.000
ProceedsFromDivestitureOfInterestInJointVenture,,,3430000.000
ProceedsFromIssuanceOfSecuredDebt,24805960.000,105951.000,
ProceedsFromLinesOfCredit,-1300017.000,5142083.000,-3859097.000
ProceedsFromMinorityShareholders,4216750.000,,
ProfitLoss,-13137315.000,-12965557.000,-6536416.000
RealEstateAccumulatedDepreciationDepreciationExpense,,17768126.000,
RealEstateImprovements,,3147423.000,1727320.000
RealEstateRevenueNet,54635045.000,57266302.000,59077971.000
RealEstateTaxesAndInsurance,6735437.000,7557006.000,8124677.000
RepaymentsOfSecuredDebt,3291860.000,4060677.000,4505991.000
SECScheduleIIIRealEstateAccumulatedDepreciationDepreciationExpense,,,16162912.000
TenantReimbursements,1811459.000,1828857.000,1814296.000
WeightedAverageLimitedPartnershipUnitsOutstanding,10493413.000,10380783.000,10380783.000
