,2011-04-02,2011-07-02,2011-10-01,2011-12-31,2012-03-31,2012-06-30,2012-09-29,2012-12-31,2013-03-30,2013-06-29,2013-09-28,2014-03-29,2014-06-28,2014-09-27,2015-07-04,2015-10-03,2016-04-02,2016-07-02,2016-10-01,2016-12-31,2017-04-01
AmortizationOfIntangibleAssets,,,,,,,,,,,,,,,,,1400000.000,1600000.000,1700000.000,2100000.000,2000000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,3000000.000,4700000.000,,2300000.000,2300000.000,2200000.000,-4600000.000,1000000.000,1400000.000,900000.000,300000.000,300000.000,300000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLossNetOfTax,,,,,,,,,,,0.000,0.000,0.000,0.000,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-127400000.000,,,,-31100000.000,,,,-42300000.000,,,-130500000.000,,,,,-375100000.000,,,,
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,,,,,,,,,0.000,,,0.000,,,,,,,,,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,,,,,,,0.000,,,0.000,,,,,0.000,,,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,,,,,-14400000.000,,,0.000,,,,,-3000000.000,,,,-300000.000
CommonStockDividendsPerShareDeclared,,,,,,,,,,,,0.100,0.100,0.125,0.125,0.125,0.150,0.150,0.150,0.165,0.165
ComprehensiveIncomeNetOfTax,,82700000.000,-24200000.000,,48000000.000,72000000.000,23100000.000,-107400000.000,46700000.000,77000000.000,67900000.000,58500000.000,92000000.000,97700000.000,111700000.000,71000000.000,73000000.000,110700000.000,88700000.000,43100000.000,72100000.000
CostOfGoodsAndServicesSold,749600000.000,821500000.000,673900000.000,627600000.000,738200000.000,789700000.000,653000000.000,592700000.000,733400000.000,796700000.000,654100000.000,704100000.000,822600000.000,672900000.000,817600000.000,710200000.000,788200000.000,888900000.000,783300000.000,803000000.000,860200000.000
DebtInstrumentDecreaseRepayments,,,85000000.000,,,,,,,,,,,,,,,,,,
DeferredIncomeTaxExpenseBenefit,3100000.000,,,,2800000.000,,,,2100000.000,,,21000000.000,,,,,20100000.000,,,,12600000.000
DepreciationDepletionAndAmortization,28400000.000,,,,23900000.000,,,,21600000.000,,,21900000.000,,,,,25400000.000,,,,27200000.000
DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet,,-3000000.000,-2200000.000,,,,,,-1400000.000,-900000.000,,,,,,,,,,,
DerivativeInstrumentsGainLossRecognizedInIncomeNet,,-1000000.000,1400000.000,,,,,,,,,,,,,,,,,,
DerivativeInstrumentsGainLossRecognizedInOtherComprehensiveIncomeEffectivePortionNet,,-2200000.000,-1100000.000,,,,,,,,,,,,,,,,,,
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,,,,,,,,,,,-1400000.000,,,,8400000.000,4400000.000,,,,,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,,,,,,,,,1600000.000,,,52600000.000,10000000.000,2800000.000,,0.000,0.000,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,,,,,,,,,,,,-14400000.000,-200000.000,1000000.000,2600000.000,0.000,100000.000,-100000.000,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,,,,,,,,,-5100000.000,1100000.000,-1200000.000,0.000,0.000,-9200000.000,200000.000,900000.000,1600000.000,0.000,100000.000,-100000.000,0.000
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,,,,,,,,,,,,,-5200000.000,,100000.000,1000000.000,0.000,0.000,0.000,
DiscontinuedOperationTaxEffectOfIncomeLossFromDisposalOfDiscontinuedOperation,,,,,,,,,,,-3000000.000,,,,-1600000.000,1600000.000,,,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,,,,,,,,,0.000,0.000,68800000.000,12300000.000,0.000,0.000,0.000,0.000,0.000,
EarlyRepaymentOfSeniorDebt,,,,,,21700000.000,77500000.000,,,249800000.000,6500000.000,,,,,,,,,,
EarningsPerShareBasic,0.310,0.780,0.050,-0.330,0.440,0.930,0.020,-0.830,0.550,0.880,0.630,0.610,0.950,1.110,1.260,0.820,0.710,1.180,0.940,0.200,0.720
EarningsPerShareDiluted,0.300,0.750,0.050,-0.320,0.430,0.900,0.020,-0.810,0.530,0.860,0.610,0.600,0.930,1.100,1.250,0.810,0.700,1.170,0.930,0.200,0.710
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,,,,,,,,,,,,,2900000.000,,,,
EffectiveIncomeTaxRateContinuingOperations,,0.203,0.000,,0.209,0.107,0.840,-0.970,0.285,0.130,-0.040,0.348,0.340,0.314,0.284,0.355,0.309,0.308,0.278,-0.599,0.253
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,,,,,,,,,,,3500000.000,,,,,7400000.000,,,,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,,,,,,,,,,,,3500000.000,,,,,7400000.000,,,,
ExtendedProductWarrantyAccrualAdditionsFromBusinessAcquisition,,,,,,,,,,,,,,,,,,,,,0.000
ExtendedProductWarrantyAccrualForeignCurrencyTranslationGainLoss,,,,,,,,,,,,,,,,,,,,,200000.000
ExtendedProductWarrantyAccrualWarrantiesIssued,,,,,,,,,,,,,,,,,,,,,9900000.000
FinancingReceivableAllowanceForCreditLossesProvisions,,,,,800000.000,,,,,,,,,,,,,,,,
