,2011-12-31
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,98000.000
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,10584000.000
AmortizationOfFinancingCostsAndDiscounts,96000.000
AvailableForSaleSecuritiesGrossRealizedGains,15000.000
CapitalLeaseObligationsIncurred,53000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-11486000.000
ComprehensiveIncomeNetOfTax,-86599000.000
DepreciationDepletionAndAmortization,741000.000
EarningsPerShareBasicAndDiluted,-3.260
GainLossOnSaleOfPropertyPlantEquipment,1000.000
GeneralAndAdministrativeExpense,19539000.000
IncreaseDecreaseInAccountsPayable,1764000.000
IncreaseDecreaseInAccruedLiabilities,3126000.000
IncreaseDecreaseInDeferredRevenue,-4306000.000
IncreaseDecreaseInEmployeeRelatedLiabilities,311000.000
IncreaseDecreaseInOtherAccruedLiabilities,1004000.000
IncreaseDecreaseInOtherOperatingAssets,1065000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,2186000.000
IncreaseDecreaseInReceivables,-15561000.000
InterestExpense,314000.000
InterestPaid,650000.000
InvestmentIncomeInterest,383000.000
InvestmentIncomeNetAmortizationOfDiscountAndPremium,-990000.000
LicenseAndServicesRevenue,391000.000
LicensesRevenue,4306000.000
NetCashProvidedByUsedInFinancingActivities,77790000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,77790000.000
NetCashProvidedByUsedInInvestingActivities,-29309000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-29309000.000
NetCashProvidedByUsedInOperatingActivities,-59967000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-59967000.000
NetIncomeLoss,-86581000.000
NonoperatingIncomeExpense,78000.000
OperatingExpenses,93964000.000
OperatingIncomeLoss,-86659000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,-18000.000
OtherNonoperatingIncomeExpense,9000.000
PaymentsToAcquireAvailableForSaleSecurities,205797000.000
PaymentsToAcquirePropertyPlantAndEquipment,1458000.000
ProceedsFromIssuanceOfCommonStock,81139000.000
ProceedsFromSaleAndMaturityOfAvailableForSaleSecurities,177934000.000
ProceedsFromSaleOfPropertyPlantAndEquipment,12000.000
ReimbursementRevenue,2608000.000
RepaymentsOfDebtAndCapitalLeaseObligations,3349000.000
ResearchAndDevelopmentExpense,74425000.000
Revenues,7305000.000
SalesRevenueNet,7305000.000
ShareBasedCompensation,10584000.000
StockIssuedDuringPeriodValueEmployeeStockPurchasePlan,737000.000
StockIssuedDuringPeriodValueNewIssues,78062000.000
StockIssuedDuringPeriodValueStockOptionsExercised,2438000.000
