,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,1342000.000,,,,1068000.000,,,,1988000.000,,,,1819000.000,,,,638000.000,,
AllowanceForLoanAndLeaseLossesAdjustmentsNet,,,,,15000.000,7000.000,4000.000,,,,,,,,,,,,
AllowanceForLoanAndLeaseLossesProvisionForLossNet,,,,,-131000.000,-46000.000,26000.000,,,,,,,,,,,,
AllowanceForLoanAndLeaseLossesWriteOffs,,,,,18000.000,38000.000,30000.000,,,,,,,,,,,,
AmortizationOfDeferredLoanOriginationFeesNet,-9240000.000,,,,,,,,,,,,,,,,,,
AmortizationOfFinancingCosts,-15389000.000,,,,,,,,,,,,,,,,,,
AmortizationOfIntangibleAssets,,,,,,,,,615000.000,,,,578000.000,,,,578000.000,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,8870000.000,22000.000,231000.000,-8985000.000,530000.000,,,,,,,,,,
AssetsFairValueAdjustment,,,,,,,,,,,,,,,,,,-19000.000,-200000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses,,,,,,,,,1200000.000,,,,,,,,,,
AvailableForSaleSecuritiesGrossRealizedGainLossNet,,,,,,,,,,,-161000.000,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-21990000.000,,,,3337000.000,,,,-14241000.000,,,,-4186000.000,,,,-10768000.000,,
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,,,,,,,,,,,,,-13086000.000,,,,,,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,,,,,,,,,,,2352000.000,,,,,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,,,,,,,,,1431000.000,,,,,,
ComprehensiveIncomeNetOfTax,-87835000.000,,,,-13433000.000,-11829000.000,-9582000.000,-16705000.000,-11571000.000,-8376000.000,-4413000.000,-12166000.000,-13321000.000,-13124000.000,-8596000.000,-13036000.000,-6115000.000,-4852000.000,-5311000.000
DeconsolidationGainOrLossAmount,,1237717000.000,10865000.000,,,,,,,,,,,,,,,,
DeferredIncomeTaxExpenseBenefit,237000.000,,,,115000.000,,,,97000.000,,,,71000.000,,,,117000.000,,
DepreciationAndAmortization,1234000.000,,,,1006000.000,,,,1308000.000,,,,1267000.000,,,,1390000.000,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,,,,,,,,,,,,207000.000,-761000.000,,,,
DisposalGroupIncludingDiscontinuedOperationOperatingExpense,,,,,,,,,,,,,,660000.000,488000.000,,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,,,,,,,,,,,202000.000,79000.000,,,,
EarningsPerShareBasic,-0.870,10.820,0.090,-0.060,,-0.120,-0.080,,,,,,,,,,,,
EarningsPerShareBasicAndDiluted,,,,,-0.140,,,,-0.100,-0.680,-0.450,,-1.180,-1.100,-0.750,-1.130,-0.530,-0.410,-0.460
EarningsPerShareDiluted,-0.870,10.820,0.090,-0.080,,-0.120,-0.080,,,,,,,,,,,,
FinancingReceivableModificationsPostModificationRecordedInvestment2,,,,,,,,,1100000.000,,,,,,,,,,
GainOrLossOnSaleOfStockInSubsidiary,,,12571000.000,,,,,,,,,,,,,,,,
GeneralAndAdministrativeExpense,29181000.000,18342000.000,14087000.000,-509000.000,17395000.000,13006000.000,11172000.000,12009000.000,14679000.000,11434000.000,11099000.000,10417000.000,14547000.000,15711000.000,11113000.000,10908000.000,14217000.000,10150000.000,11105000.000
ImpairedFinancingReceivableAverageRecordedInvestment,,,,,,,,,1581000.000,1581000.000,1580000.000,,,,,,,,
ImpairedFinancingReceivableInterestIncomeAccrualMethod,,,,,,,,,15000.000,16000.000,14000.000,,,,,,,,
IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciple,-95161000.000,-55943000.000,-13062000.000,101419000.000,-13537000.000,-12189000.000,-8834000.000,-14989000.000,-11243000.000,,,,,,,,,,
IncomeLossFromContinuingOperations,,,,,-13932000.000,-12283000.000,-8789000.000,-15193000.000,,,,,-10528000.000,-12912000.000,-7835000.000,-11805000.000,-6115000.000,-4852000.000,-5311000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,,,,,,,,,-5821000.000,-4562000.000,-5022000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-87156000.000,1182059000.000,10374000.000,-1156825000.000,-13537000.000,-11908000.000,-8413000.000,-14043000.000,,-7386000.000,-4617000.000,,-10285000.000,-12637000.000,-7475000.000,,,,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,,,-0.140,,,,,,,,-0.920,-1.120,-0.680,-1.030,-0.530,-0.410,-0.460
IncomeLossFromContinuingOperationsPerBasicShare,,,,,,-0.120,-0.080,,,,,,,,,,,,
