,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AllocatedShareBasedCompensationExpense,,,,,2000000.000,,,,,,,,,,,,,,,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,202064.000,,,,831243.000,,,,782.000,,,,183315.000,,,,335826.000,,,,834.000
CapitalExpendituresIncurredButNotYetPaid,25000000.000,22000000.000,23000000.000,-35000000.000,29000000.000,30000000.000,25000000.000,-42000000.000,31000000.000,24000000.000,27000000.000,-30000000.000,40000000.000,39000000.000,39000000.000,-77000000.000,34000000.000,41000000.000,37000000.000,-62000000.000,41000000.000,35000000.000,51000000.000,-59000000.000,50000000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-34000000.000,-38000000.000,2000000.000,51000000.000,-21000000.000,-12000000.000,26000000.000,16000000.000,10000000.000,2000000.000,41000000.000,-1000000.000,-8000000.000,-7000000.000,15000000.000,7000000.000,6000000.000,-38000000.000,-30000000.000,67000000.000,87000000.000,-63000000.000,13000000.000,23000000.000,-6000000.000
ComprehensiveIncomeNetOfTax,78000000.000,74000000.000,-48000000.000,-87000000.000,59000000.000,49000000.000,142000000.000,-1000000.000,32000000.000,45000000.000,38000000.000,116000000.000,43000000.000,90000000.000,20000000.000,-112000000.000,-20000000.000,102000000.000,11000000.000,34000000.000,84000000.000,69000000.000,185000000.000,25000000.000,91000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,6000000.000,6000000.000,5000000.000,8000000.000,5000000.000,9000000.000,,,,,,,,,,,,,,,16000000.000,15000000.000,17000000.000,18000000.000,16000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,84000000.000,80000000.000,-43000000.000,-79000000.000,64000000.000,58000000.000,149000000.000,8000000.000,39000000.000,56000000.000,48000000.000,127000000.000,49000000.000,101000000.000,31000000.000,-98000000.000,-5000000.000,114000000.000,23000000.000,47000000.000,100000000.000,84000000.000,202000000.000,43000000.000,107000000.000
CostOfGoodsSoldExcludingDepreciationDepletionAndAmortization,,,,,,,,,,,,,,,,,,,1707000000.000,,1770000000.000,1810000000.000,1741000000.000,1790000000.000,1925000000.000
CostsAndExpenses,1661000000.000,1772000000.000,1687000000.000,1696000000.000,1812000000.000,1782000000.000,1665000000.000,1669000000.000,1808000000.000,1925000000.000,1889000000.000,1914000000.000,1979000000.000,2084000000.000,1937000000.000,1921000000.000,1902000000.000,1974000000.000,1908000000.000,1901000000.000,2010000000.000,2033000000.000,1944000000.000,2079000000.000,2164000000.000
DeferredIncomeTaxExpenseBenefit,-5000000.000,,2000000.000,,-5000000.000,-2000000.000,-87000000.000,29000000.000,-5000000.000,21000000.000,-10000000.000,-1000000.000,2000000.000,-3000000.000,-12000000.000,12000000.000,-6000000.000,-7000000.000,12000000.000,1000000.000,3000000.000,10000000.000,-86000000.000,-6000000.000,8000000.000
DepreciationDepletionAndAmortization,51000000.000,54000000.000,51000000.000,51000000.000,49000000.000,50000000.000,49000000.000,57000000.000,50000000.000,50000000.000,51000000.000,54000000.000,51000000.000,52000000.000,52000000.000,53000000.000,50000000.000,51000000.000,53000000.000,49000000.000,54000000.000,52000000.000,53000000.000,53000000.000,52000000.000
EarningsPerShareBasic,0.780,0.840,0.510,0.490,0.500,1.450,2.090,0.540,0.900,1.040,0.190,0.900,0.760,1.340,1.290,0.330,0.810,1.270,0.890,1.170,1.000,1.510,3.240,0.740,1.170
EarningsPerShareDiluted,0.750,0.810,0.490,0.500,0.490,1.420,2.050,0.540,0.880,1.020,0.190,0.880,0.750,1.320,1.270,0.320,0.800,1.260,0.880,1.170,0.990,1.490,3.210,0.750,1.160
EffectOfExchangeRateOnCashAndCashEquivalents,,5000000.000,-21000000.000,,10000000.000,-8000000.000,5000000.000,-1000000.000,7000000.000,-19000000.000,10000000.000,-8000000.000,-6000000.000,4000000.000,-4000000.000,-9000000.000,-7000000.000,1000000.000,-25000000.000,-6000000.000,7000000.000,-7000000.000,3000000.000,-1000000.000,8000000.000
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,,0.350,,,,,,,,,,,,,,,,,,,,
EmployeeServiceShareBasedCompensationTaxBenefitRealizedFromExerciseOfStockOptions,,,,,,,,,,,,,1000000.000,3000000.000,4000000.000,,3000000.000,,,,1000000.000,,,,2000000.000
