,2011-06-30,2011-09-30
CostsAndExpenses,60365000.000,63917000.000
DepreciationAndAmortization,2575000.000,2587000.000
EarningsPerShareBasic,0.030,0.150
EarningsPerShareDiluted,0.030,0.140
GeneralAndAdministrativeExpense,9546000.000,10870000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,2226000.000,8943000.000
IncomeTaxExpenseBenefit,719000.000,903000.000
InterestExpense,54000.000,7000.000
InvestmentIncomeInterest,66000.000,58000.000
LicenseCosts,525000.000,1049000.000
LicensesRevenue,9123000.000,9711000.000
MaintenanceRevenue,16978000.000,17468000.000
NetIncomeLoss,1507000.000,8040000.000
NonoperatingIncomeExpense,-734000.000,11321000.000
OperatingIncomeLoss,2960000.000,-2378000.000
OtherNonoperatingExpense,746000.000,
OtherNonoperatingIncomeExpense,,11270000.000
ResearchAndDevelopmentExpense,8537000.000,8779000.000
Revenues,63325000.000,61539000.000
SalesRevenueNet,63325000.000,61539000.000
SellingAndMarketingExpense,7208000.000,7741000.000
TechnologyServicesCosts,24943000.000,26086000.000
TechnologyServicesRevenue,23059000.000,20224000.000
WeightedAverageNumberOfDilutedSharesOutstanding,54430596.000,55722570.000
WeightedAverageNumberOfSharesOutstandingBasic,53565639.000,54528880.000
