,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
AdministrativeFeesAmountPaid,,60000.000,,,
AllocatedShareBasedCompensationExpense,196835.000,104874.000,,0.000,
AssetManagementFees,,111525.000,,,
AssetManagementFees1,,,118028.000,41748.000,
CashAcquiredFromAcquisition,0.000,0.000,,0.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,-30350.000,998245.000,-986622.000,27623.000,-41616.000
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,0.000,0.000,,0.000,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,0.000,0.000,,0.000,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,0.000,0.000,,0.000,
ComprehensiveIncomeNetOfTax,,-600181.000,-535771.000,326143.000,-1716961.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,-526285.000,-600181.000,,,
DeferredIncomeTaxExpenseBenefit,0.000,0.000,,0.000,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,0.000,0.000,,0.000,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,0.000,0.000,,0.000,
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,0.000,0.000,,0.000,
EarningsPerShareBasicAndDiluted,0.000,-0.010,0.000,0.000,-0.010
EffectOfExchangeRateOnCashAndCashEquivalents,,-3445.000,-6497.000,-2307.000,-3701.000
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.350,0.350,0.350,0.350
ExplorationCosts,,,,,132515.000
ForeignCurrencyTransactionGainLossBeforeTax,-6807.000,-98491.000,746669.000,387858.000,412211.000
ForeignCurrencyTransactionGainLossUnrealized,3519.000,101666.000,-739259.000,-387649.000,-409573.000
GainsLossesOnExtinguishmentOfDebt,0.000,0.000,,0.000,
GeneralAndAdministrativeExpense,562695.000,1099401.000,-330957.000,-41872.000,1674543.000
ImpairmentOfOilAndGasProperties,0.000,0.000,,0.000,1644960.000
IncomeLossFromContinuingOperations,-522601.000,-603626.000,286307.000,35776.000,-1682740.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,286307.000,35776.000,-1682740.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,0.000,-0.010,0.000,0.000,-0.010
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,0.000,0.000,,0.000,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,0.000,-0.000,0.000,0.000,
IncomeTaxExpenseBenefit,,,828575.000,-288060.000,37922.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,,152307.000,946263.000,-536002.000,806924.000
IncomeTaxReconciliationForeignIncomeTaxRateDifferential,,27917.000,-220870.000,235420.000,-180043.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,-214506.000,103182.000,12522.000,-588959.000
IncomeTaxesPaid,0.000,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,65963.000,84468.000,31508.000,152857.000,279107.000
IncreaseDecreaseInCustomerAdvances,138350.000,-7160.000,,0.000,
IncreaseDecreaseInDeferredIncomeTaxes,,,828575.000,-288060.000,37922.000
IncreaseDecreaseInDeposits,,0.000,,,
IncreaseDecreaseInPrepaidExpense,8165.000,-1918.000,-1790.000,-6733.000,656.000
IncreaseDecreaseInReceivables,5776.000,2418.000,212.000,-1628.000,-657.000
InterestExpense,,,44650.000,6096.000,8197.000
InterestPaid,0.000,1190.000,44965.000,6096.000,777.000
NetCashProvidedByUsedInFinancingActivities,180000.000,1000000.000,-60000.000,235000.000,1904340.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,180000.000,1000000.000,-60000.000,235000.000,1904340.000
NetCashProvidedByUsedInInvestingActivities,-106357.000,5773.000,-503600.000,0.000,-1777709.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-106357.000,5773.000,-503600.000,0.000,-1777709.000
NetCashProvidedByUsedInOperatingActivities,-103993.000,-7528.000,-423022.000,-207377.000,-168247.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-103993.000,-7528.000,-423022.000,-207377.000,-168247.000
NetIncomeLoss,-522601.000,-603626.000,-542268.000,323836.000,-1720662.000
OfficersCompensation,110652.000,271393.000,118028.000,46955.000,68043.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,-3684.000,,,,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,,3445.000,,,
OtherIncome,40094.000,495775.000,,0.000,
OtherLaborRelatedExpenses,0.000,0.000,,0.000,
OtherOperatingIncome,,488615.000,488615.000,,
PaymentForAdministrativeFees,,,60000.000,126257.000,60000.000
