,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-09-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,1000000.000,,,,2000000.000,,,,,,5000000.000,,,,3000000.000,,,,3000000.000
AssetImpairmentCharges,,,,,,,,,1000000.000,3000000.000,,,1000000.000,,,,,,
BusinessCombinationAcquisitionRelatedCosts,4000000.000,3000000.000,,,3000000.000,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,41000000.000,,,,-48000000.000,,,,-82000000.000,,-13000000.000,,,,-21000000.000,,,,4000000.000
ComprehensiveIncomeNetOfTax,26000000.000,-27000000.000,34000000.000,,-4000000.000,-39000000.000,-544000000.000,291000000.000,-26000000.000,-149000000.000,-23000000.000,7000000.000,5000000.000,-115000000.000,-3000000.000,-36000000.000,18000000.000,-228000000.000,-38000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,10000000.000,-53000000.000,,,,-1000000.000,,,0.000,0.000,1000000.000,0.000,0.000,1000000.000,1000000.000,2000000.000,1000000.000,1000000.000,1000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,36000000.000,-80000000.000,34000000.000,,-4000000.000,-40000000.000,-544000000.000,292000000.000,-26000000.000,-149000000.000,-22000000.000,7000000.000,5000000.000,-114000000.000,-2000000.000,-34000000.000,19000000.000,-227000000.000,-37000000.000
CostOfGoodsSoldDepreciationDepletionAndAmortization,57000000.000,58000000.000,59000000.000,,60000000.000,61000000.000,61000000.000,61000000.000,62000000.000,60000000.000,57000000.000,60000000.000,59000000.000,61000000.000,52000000.000,54000000.000,51000000.000,49000000.000,51000000.000
CostOfGoodsSoldExcludingDepreciationDepletionAndAmortization,836000000.000,885000000.000,895000000.000,,857000000.000,859000000.000,857000000.000,873000000.000,821000000.000,816000000.000,718000000.000,692000000.000,687000000.000,729000000.000,677000000.000,668000000.000,681000000.000,690000000.000,667000000.000
CumulativeEffectOnRetainedEarningsNetOfTax1,,,,,,,,,,,,,,,,,,,-3000000.000
DeferredIncomeTaxExpenseBenefit,,,,,,,,,-8000000.000,,14000000.000,,,,10000000.000,,,,28000000.000
